0.1,0.23,24.65,277691,49,287265,8645.54,
0.2,0.40,29.72,553198,83,572261,16819.87,
0.3,0.53,35.05,829092,100,857400,24421.31,
0.4,0.70,38.77,1102811,104,1140263,31512.17,
0.5,0.85,42.42,1377947,92,1424345,37938.58,
0.6,1.07,46.91,1648275,73,1703179,44060.94,
0.7,1.23,51.76,1917548,52,1980523,49658.32,
0.8,1.53,58.87,2181880,20,2251875,54105.58,
0.9,1.80,70.38,2446271,8,2522676,58178.15,
1.0,2.27,61.76,2696453,2,2776803,60662.08,
0.1,0.23,24.65,277691,49,287265,8645.54,
0.2,0.40,29.72,553198,83,572261,16819.87,
0.3,0.53,35.05,829092,100,857400,24421.31,
0.4,0.70,38.77,1102811,104,1140263,31512.17,
0.5,0.85,42.42,1377947,92,1424345,37938.58,
0.6,1.07,46.91,1648275,73,1703179,44060.94,
0.7,1.23,51.76,1917548,52,1980523,49658.32,
0.8,1.53,58.87,2181880,20,2251875,54105.58,
0.9,1.80,70.38,2446271,8,2522676,58178.15,
1.0,2.27,61.76,2696453,2,2776803,60662.08,
